编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
439	机械工程若干前沿技术	机械设计及制造教研室		1	191	4	伍世虔	13	?50506	教一楼一区110	必修	专业核心课程
440	MATLAB语言	电子信息工程系		3	68	16	廖宇峰	"3-10,3-10"	"?10708,50304"	"教二楼二区101,教一楼三区101"	必修	学科基础平台课程
441	免疫及免疫检验学	微生物学教研室		3	56	28	"陈慧,王强"	"1-5,7-9,1-5,7-9,1-5,7-9,1-5,7-9"	"?30506,10102,30506,10102"	"教一楼一区107,教一楼一区107,教一楼一区107,教一楼一区107"	必修	学科基础平台课程
442	天然药物化学	药理学教研室		3	68	16	杨曦亮	"3-5,7-12,1-5,7-13,3-5,7-8"	"?40304,20304,50304"	"教一楼一区308,教三楼409（黄家湖）,教一楼三区501"	必修	专业核心课程
443	模具设计	机械设计及制造教研室		2	41	9	李贵	"3-10,3-10"	"?10506,30506"	"教一楼二区104,教一楼二区104"	必修	专业核心课程
444	国际贸易实务概论	外语系		3	81	3	甘小亚	"1-12,1-12"	"?10506,30102"	"教一楼一区302,教一楼一区308"	选修	专业方向课程1
445	法医学	医学院		1.5	34	66	何军	"1-5,7,1-5,7"	"?20910,30910"	"教一楼一区205,教一楼一区205"	选修	学科基础平台课程
446	操作系统	计算机科学与技术学院		3.5	25	65	梁平	"4-15,4-14"	"?50506,20506"	"教三楼108（黄家湖）,教三楼106（黄家湖）"	必修	专业核心课程
447	操作系统	计算机科学与技术学院		3.5	76	64	黄革新	"4-15,4-14"	"?40304,50304"	"教三楼404（黄家湖）,教三楼105（黄家湖）"	必修	专业核心课程
448	软件工程	计算机科学与技术学院		3.5	16	74	张晓龙	"6-17,6-16"	"?10506,40304"	"教三楼211（黄家湖）,教三楼110（黄家湖）"	必修	专业核心课程
449	软件工程	计算机科学与技术学院		3.5	75	15	赵红武	"6-17,6-16"	"?10304,30304"	"教三楼408（黄家湖）,教三楼406（黄家湖）"	必修	专业核心课程
450	软件工程	软件工程教研室		3.5	68	72	刘茂福	"6-17,6-16"	"?40304,20304"	"教三楼105（黄家湖）,教三楼104（黄家湖）"	选修	专业任选课程
451	计算机网络	计算机应用教研室		4	69	21	金瑜	"4-16,4-15"	"?20102,40102"	"教三楼110（黄家湖）,教三楼308（黄家湖）"	必修	专业核心课程
452	专业英语	计算机科学与技术学院		2	102	38	胡静	"8-15,8-15"	"?30708,10304"	"教三楼107（黄家湖）,教三楼107（黄家湖）"	选修	专业任选课程
453	专业英语	车辆工程系		1.5	30	20	邓明星	"4-9,4-9"	"?10506,30506"	"教一楼二区204,教一楼二区406"	必修	专业核心课程
454	自动控制原理	车辆工程系		2.5	82	52	许小伟	"4-11,4-11"	"?20102,40102"	"教一楼三区505,教一楼三区506"	必修	专业核心课程
